text,source,annotator_1_label_x,annotator_2_label_x,annotator_3_label_x,annotator_4_label_x,annotator_5_label_x,annotator_1_label_y,annotator_2_label_y,annotator_3_label_y,annotator_4_label_y,annotator_5_label_y,annotator_1_label,annotator_2_label,annotator_3_label,annotator_4_label,annotator_5_label,OAG,NAG,CAG
and we shud also destroy taj mahal... qutub minar ....laal qila aftr that visiters seen only GBRoad vd hvng a fun vd ur neighbours,Trac1,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0
Project pay is just a soft ass little bitch.,DavidsonOFF,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
@tiffantasticc your dad is genuine happy guy because his kids aren't niggers though &#128532; jimmy is my nigga 5eva,DavidsonHS,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,1.0,
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
"Now India will start striking back through Twitter haha. Bring Antony back to the position if you people are incapable, he was not an extremist by nature but surely a man of action not words like you people. 56 inch, 1 surgical strike like the end of pakistan haha only good for publicity.",Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,1.0,,
Early bird gets the worm! &#128027;&#128036;,DavidsonHS,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
@thejournalist44 best O-Lineman is a rookie. It's him and a bunch of retards I wouldn't trust with a potato gun.,DavidsonOFF,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
Useless,Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,1.0,,
Useless,Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
RT @BryanHoch: Just 113 days until Yankees pitchers and catchers report.,DavidsonHS,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
"Correct, Dead is dead. There are, however, leves of wounds, hence the emphasis when they are serious. This is not a POV adjective.",Toxkaggle,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
#WestVirginia is full of white trash.,DavidsonHS,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
RT @juicygenie: @thotpockets fat bitches that think they cute,DavidsonOFF,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
Waiting on this wetback sycksyllables http://t.co/L8wqZduzZE,DavidsonHS,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",DavidsonHS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Its tons of porn with unlimited  assess thro mobile ...,Trac1,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,
"more training, less Wiki please 

and take care of your knee, please.",Toxkaggle,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
Hood niggas and bitches love emojis lmfao,DavidsonHS,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
I think this IP address has been blocked. I'm unable to make any (constructive) edits to any articles. Grr! I hate when trolls use transparent proxies and get the rest of us (legitimate) users blocked.,Toxkaggle,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
And now they say doctors should not be beaten up,Trac1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1.0,,
Lol modi is being vompared to pappu now ..didnt expect that😂,Trac1,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
"i want to now about elantas back & ksl, & what is the target in 3 months",Trac1,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,1.0,
"&#8220;@dnumberbefore2: &#8220;@Vice504fly: @dnumberbefore2 u a regular nig, u played out b&#8221; lol ima b Ig famous&#8221;these days that counts for somethin",DavidsonHS,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
PENIS ASSOCIATION OF AMERICA,Toxkaggle,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
"Get a fucking life, and stop chaining my page.",Toxkaggle,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
RT @MANIAC3X: @NotoriousBM95 @Woody_AFC @_WhitePonyJr_ @santi_4l @Bamoose12 start crying and stalking him faggot. I want to laff,DavidsonHS,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
"I would appreciate if you could use more courtoisie when editing. The edit summaries  here and here denigrate me as a fellow editor. We may disagree as much as we wish content-wise, but please keep it civilized. I would also appreciate if you could please not revert anymore. Something bothers you: use the talk page to clarify the misunderstanding, please. \talk",Toxkaggle,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
Guys any good stock which will be benefitted from digitisation.,Trac1,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,
&#8220;@trayn1gga: Charlie Strong WILL have Texas back as a power&#8221; better power of big 12 is anybody's now,DavidsonOFF,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
RT @BadAdviceDog: when you look like trash and someone compliments you http://t.co/RRQzsYM4tY,DavidsonOFF,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
"RT @UrbanEngIish: When your phone goes off in class and the teacher says ""turn that trash off"" but its a song from your mixtape = https://t&#8230;",DavidsonOFF,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
Me &amp; hubby relaxing from the studio for a lil...then headed str8 to my honey doo wop wops bday bash Kristen... http://t.co/FOnJOFdzJC,DavidsonHS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RT @BigMac6374: I don't like the weather right now it's scaring me lol why is it yellow?,DavidsonHS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
@McSheeti means trash lol,DavidsonOFF,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
"""

 Disscussions with DMacks 

oth have understanding difficulty's.OneMadScientist (talk) 
I am talking about your behavior...we are all responsible for what we ourselves do, even if we feel provoked by others. It's a great test of one's strength to recognize when to help raise the level of discussion rather than inflaming tense situations. Your edits were explicitly written to insult a person rather than as constructive criticism of specific actions, and you even said you were trying to undo your previous steps towards repairing the destructive atmosphere here. That's all forbidden. Period. No """"but he said..."""" or """"I'm just proving I was right all along"""". What are your personal intents for being a Wikipedia editor? If it's to improve wikipedia articles, then go do so now and stop wasting everyone's time with discussions about your previous battles. If it is anything else, including trying to school others in morality or your sense of religious obligation, no...this website it not for you. DMacks (talk) 

@DMacks WELL - I'am talking about your, and Plasmic Physics's behavior and responsibility around here and maybe this website it not for you.
You Would Do well Take your own advice DMacks. Is there not a word for describing the lack of following one's own advice (rules) which I have been condemned for using. Oh, yes now I remember, It is (hypocrite).
And I was Beginning to think you had realized YOUR errors in regards to YOUR application of YOUR """"Obligations"""" as a Wikipedia """"morality code"""" enforcer and understood my very significant and valid arguments.
Specifically for now -
In regards to YOUR choice!!(and the actual definition) of what exactly constitutes a personal attack around here. And the objectivity by which it is applied and the selective abuse of its application by YOU in particular.
You are now bringing up the very important point that I would Have Very Much desired to take up with you in your absence.
I am sorry, I mistook your silence for understanding on your behalf.
I contend that you have failed miserably in the """"great test of one's strength to recognize when to help raise the level of discussion rather than inflaming tense situations"""" and should have known better given your display of """"apparent"""" authority.
I contend that (In This issue with Plasmic Physics - which you had been following from the start, at least) that after my initial """"transgressions"""" and subsequent overly profuse apologies, was being very polite and civil.
I was then was the subject of an Obvious personal attack from Plasmic Physics, who was my initial accuser!! in the very first instance (again NOT taking ones own advice!!).
His remarks which OBVIOUSLY """"were explicitly written to insult a person (me) rather than as constructive criticism of specific actions"""" and contained no factual justification.
My response contained words and statements that were correctly and appropriately describing (with civil English words) the FACTS in relation to nature of his personal attacks on me.
In my attempt to obtain an apology from him, while Lacking any support against his attack, you decided to label me the transgressor, but not him.
You appear to be very negligent and biased acting in your """"appointed role here???"""" to say the least, if not totally malicious.
I contend that your obviously biased behavior should preclude you from further involvement in any """"moral code violation"""" disciplinary action, let alone this specific one.
This is for starters in addressing your negative comments about me.
I hope I have I made this point clear to YOU now!  
OneMadScientist (talk) 
I would appreciate and DESERVE an apology from both of you but I can see that is unlikely. If not Please don't waste my time any longer with YOUR """"attempts"""" at trying justify either your or Plasma Physics transgressions toward me or bother me any longer about this issue and I SHALL LEAVE YOU ALONE and seek others here who deserve my considerate attention. It appears that you two obviously should get along well together!.""",Toxkaggle,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
"Notable Players
Should Zack Mills really be listed with the notable players?  He didn't even play a game.  WeatherManNX01 

Rewrite
I have added a lot of information to expand the article.  However, by no means is this perfect (of course).  I don't have the best writing style for an encyclopedia, so feel free to make edits.  I have all of my research, so if there's something that needs added or or cited, or anything like that, just let me know.  This article can be a decent one with a little work and effort. WeatherManNX01",Toxkaggle,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
@section90sSoul yall defense too trash for that &#128514;&#128514;&#128514;,DavidsonOFF,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
RT @iMDatDudeFish: &#128514;&#128514;&#128514;&#128514; RT @VivaLaKash: #ThotGoals .. RT @LessonswithKate: I wanna learn how to jigg really good so I can be in the circle.,DavidsonHS,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
"It's you who is doing original research by sucking dick of allmovie and not giving sources to why IB is an adventure film, Schindler's List was a man on a mission to save the jaws, is it an adventure film cocksucker? 201.68.139.99",Toxkaggle,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"With the Premier League in the bag, Antonio Conte has now won the league title in his last four seasons as a club manager.",Trac1,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,1.0,
Can I double stuff your Oreo?,DavidsonHS,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
I have no clothes that make me look like a redneck but I tried my best &#128514;,DavidsonHS,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
"Also it isnt very neutral nor does it explain his Hindu inclined religious behaviour ie sati, his handing over of the Sikh gurdwaras to brahman authorities etc",Toxkaggle,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
Man you are seriously fucking retarded. Did you write those shitty articles yourself?,Toxkaggle,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"These are all the dirty deeds of Terrorists who guise themselves as Muslims.  Islam has been hijacked by the Wahabi Salafis to demonise its good name so that Muslims are hated all over the world.  And dont forget the role convincingly played by the international media to pour salt on the gaping wounds caused by all these atrocities on mankind, and Muslims themselves among the highest victims, in Afghanistan, Iraq, Libya, Syria, Yemen and many in African countries.  These facts explains that these terrorists are not Muslims (in the real sense of the word) but paid proxy armies, nurtured, protected, assisted bt the greatest Terrorists the world has ever seen - Israel, America and GB.
This is the truth, the absolute   truth only known by knowledgeable people. We are all being taken for a long windy ride to make the world believe what  what they want us to believe.  Unfortunately a huge percentage of the world's population took the bait, hook, line and sinker.",Trac1,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,1.0,,
"Buy gold/gold mining stocks that's the only way to financially benefit from this event. I have already put in my order 🙏🏼
I already bought MMTC.
Gold will rally to $1500 on back of Trump election",Trac1,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,1.0,
"Buy gold/gold mining stocks that's the only way to financially benefit from this event. I have already put in my order 🙏🏼
I already bought MMTC.
Gold will rally to $1500 on back of Trump election",Trac1,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,1.0,
@k_tempsss lol then they have one more flavor I think it's yellow idk.. But yea there bomb.,DavidsonOFF,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
"""

New Award

Well Done!!!

  The IAmTheCoinMan You Are Really Annoying And You Are Good At Anti-Vandalism Barnstar I, , award you the The IAmTheCoinMan You Are Really Annoying And You Are Good At Anti-Vandalism Barnstar for your multiple prompt reverts to my joke.  Protecting the wiki isn't important, and an unimportant task under that is protecting other wikipedians!  Your efforts are much much not appreciated.  I hope someone cuts of your hands! """,Toxkaggle,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
Good pick birds,DavidsonHS,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
"BKBKBKBK
IM SOOO SORRY FOR SAYIN THOSE NAUGHTY WORDS TO YOU. I JUST HAVE ONE MORE THING TO SAY.

FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
O YEA DID I MENTION
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!
FUCKK YOU ASSWHOLE BITCH NIGGER CUNT PUSSY ASS DICKFACE DIPSHIT DOUCHEBAG SLUT WHORE SHITTY WIGGER!!!

COLLEGE POINT MUTHAFCKER!!!!!!!!!!",Toxkaggle,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
Some niggah said sugapuss to me lastnight &#128569;&#128569;&#128569;,DavidsonOFF,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
"&#8220;@CMRE24 wasn&#8217;t that great to me either RT @Ahki117: ""Equalizer"" was trash Denzel officially washed bruh&#8221;neither was flight",DavidsonOFF,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
Ya n that's why communism has been obileterated from the world,Trac1,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,1.0,
Cheers young lady RT @shik702 @BmoreHumble foreverrrr younnnnng *grabs flask and chugs*,DavidsonOFF,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
@ThatKid_Vicente thanks little bitch &#128526;,DavidsonOFF,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
People who play #roleplayinggames are human filth and don't deserve the same respect you'd give a mosquito. They're soulless gutter trash.,DavidsonHS,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
LEAD APR SUSTAIN ABOVE 144 IS IN BUY FOR UPSIDE TGT 156-166-185 OTHERSIDE SUSTAIN BELOW 144 WILL IN SELL CMP 145.80,Trac1,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,1.0,
Now it's time to celebrate one more black day again in Karachi...,Trac1,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,1.0,
anuj u r amazing keep going😊 I follow you  every day 8 am onwards,Trac1,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,
Hi StupydBytch Frodesiak. I will always returd. You haven't deleted my 200 articles. Do you need a list to delet them? I can provide you thi list. Shythole,Toxkaggle,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,
@YesseSmith I was born yellow,DavidsonHS,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
@TheMayorMatt @Frizzle18 I like where ur domes at #smart,DavidsonHS,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
@kirstynehbu faggot,DavidsonHS,1.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,,
Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6,DavidsonHS,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RT @halfricannnnn: nigger,DavidsonHS,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
"Samuell, if you do not want to be the one dead, better proceed as requested. Either that or we'll keep beating!",Toxkaggle,1.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
@_lexisperez he ate my pussy i could..,DavidsonOFF,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
"other people's
Gosh you can't even speak English which you claim to be your mother tongue. Puh-lease.",Toxkaggle,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
@RPopBox @boxing Yeah he definitely wasn't the same guy who fought Lara but he cuts the ring off well which should be a huge boon to Canelo,DavidsonHS,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
just noticed some trash on my notification page i had to clean up,DavidsonOFF,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
Where is the outrage for deaths of our Jawans? Where are offers of bangles for PM by BJP MPs? Or don't they care now that they are in Govt?,Trac1,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,
Drama man,Trac1,0.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,1.0
"Support - The Whirlygirl article is a redirect to this page, and there is no article with a similar name, without being a redirect page.",Toxkaggle,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,
"Twitters little blue birds name is Larry, after Celtics, ISU Larry Bird, stick ticker is $TWTR.",DavidsonHS,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
Don't loose to these gundas who rules us!,Trac1,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,1.0
"@Misplaced_Momma 
Y&#8217;all whitey gots to PAY fo da preparations",DavidsonHS,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,
"You're a stupid cunt 

Fuck you dumb arse, your mum has a hairy cunt and I hope and pray that you die, no, fuck that, I wish you would die, if I had three wishes, one of them would be to have you dead, and the others would be so that everyone you knew hated your cunt like face.",Toxkaggle,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
RT @SuckMy_John_Son: #VolNation bitch,DavidsonOFF,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
"I'm not dating anyone right now, I'm giving my pussy a brake.",DavidsonOFF,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
There you go acting like a hoe &#128530;,DavidsonOFF,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
Uou made a mistake,Trac1,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,
"bastard 

why do you hate jonathan pacheco...you dick!",Toxkaggle,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
@Pete_OR i prefer zebra visually. Didn't know about lesser costs.,DavidsonOFF,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
This types  of man most punished as per law of IPC,Trac1,0.0,0.0,1.0,0.0,1.0,,,,,,,,,,,,1.0,
You are pro muslim pig,Trac1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
@Im_Thirst randies are fags,DavidsonHS,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,
HOW many dreams are destroyed because of this fucking IIT,Trac1,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
"Everyday this indian hyenas  kill our citizens in Bangladesh india borders.They kill farmers children whenever they want.But our hijra BDR and hijra govt.can't do anything.when we BangladeshI heard that some indian dog killed by Pakistani army,our heart  fills with joy.Hurrah! today is party time.",Trac1,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,1.0,,
"Let us change to T10 format!!! I am sure it has something to do be SRK, since sugar daddy is on the run!!!",Trac1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,1.0
"I'll leave you alone when you levae me and my talk page alone, you white fuck.",Toxkaggle,1.0,1.0,0.0,0.0,1.0,,,,,,,,,,,,,
Today's Spy Ops: (His soles need a cleaning lick lick. I bet this cuties sneaks smell good) http://t.co/c7Hj3DvNgp,DavidsonOFF,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,
@TheRealCVL and @CoryHolmes24 are faggots. Kbye.,DavidsonHS,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,
A bitch who can't keep a man RT @SoloDahSystem: Which one of you air headed bitches made this? http://t.co/aEMkmikoyf,DavidsonOFF,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
"Peace fags, just remember I'm best Lux support NA. Drop LustBoy pick me and Kakao up TSM.",DavidsonHS,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
"@SarahR_82 
Y'all gots to take da colored vacation. Kentucky fried chicken but only da white meat",DavidsonHS,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,,,,
Congo,Trac1,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,1.0,
"When I order from the butcher the natural casings, I ask for cow intestines.  Last time I checked, paper was also made from cellulose.  Reverting.  (talk • contribs) .",Toxkaggle,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,
"Syed Wajid Ali Shah, you will not know its quite natural becoz u only know abt Kashmiri muslims. You don't know also about the Syrian muslims, the Baluch muslims, the Sind muslims and millions other muslims who are being killed by your own muslims either terrorists or by different tribal muslim fighter groups...",Trac1,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,1.0,
I would like to point out that RJII is the only active editor on that article pushing for it to remain in its current form. Three others ( POV warrior who takes advantage of the difficulty in deleting anything on wikipedia to push his own agenda.,Toxkaggle,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,
"HOE 

Your A slut hoe basstatard homo rapeist",Toxkaggle,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
5SOS is trash,DavidsonOFF,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
Can I double stuff your Oreo?,DavidsonOFF,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,
That fucking slutty beaner,DavidsonHS,0.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
"Oh so it's you who wants the considerable amount of harm then is it? 

You fucking cretin. You seriously think I'm going to stop vandalising just because you block me? I have a MASSIVE range of IPs and you will never block them all. I am never going to stop either. Hahaha 94.2.133.200",Toxkaggle,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
@NotoriousBM95 @MANIAC3X fucking creepy ass nigguh lmao,DavidsonOFF,1.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
"Only Durzis call themselves as unitarians (Muwahhideen) in order to define/strengthen this Tawhid belief, the other even sects does not need this term.",Toxkaggle,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
Something is very wrong.,Toxkaggle,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,
RT @BroganWebber: Wiz is garbage to be put in the trash can known as Beyonc&#233; to be put in a dumpster known as the VMAs.,DavidsonOFF,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,,,
take manmohan to usa obama ji,Trac1,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,1.0,
Killing in the name of Durga is the new 72 virgins.,Trac1,0.0,1.0,0.0,1.0,1.0,,,,,,,,,,,1.0,,
